signal_date,ticker,code,name,market,day0_price,lot_cost,ignition_score,ignition_signal_count,day0_ret_5,day0_ret_20,day0_ret_60,day0_volume_ratio_5,day0_distance_to_high_60,d1_return,d3_return,d5_return,d10_return,d20_return,latest_return,latest_price,trading_days_since_signal
2026-09-14,6811.TWO,6811,宏碁資訊,TPEx,248.0,248000.0,93.07536319612592,7,0.1096196868008949,0.092511013215859,0.1359819707057517,2.682774485487627,0.0081300813008129,0.012096774193548487,0.006048387096774244,,,,0.006048387096774244,249.5,3
2026-09-14,6179.TWO,6179,亞通,TPEx,34.400001525878906,34400.001525878906,91.22772107416426,5,0.1428571790668933,0.2396396946262668,0.3119433308819197,7.944424242349535,-0.0994764178315723,0.013081306054700592,0.2049418291960503,,,,0.2049418291960503,41.45000076293945,3
2026-09-11,6739.TWO,6739,竹陞科技,TPEx,1270.0,1270000.0,94.7488234383005,6,0.118942731277533,0.2574257425742574,0.1339285714285714,3.900353067320448,-0.0378787878787878,-0.09842519685039375,-0.17322834645669294,,,,-0.14960629921259838,1080.0,4
2026-09-11,2254.TW,2254,巨鎧精密-創,TWSE,65.80000305175781,65800.00305175781,93.66636582430806,7,0.059581395628836,0.1190476854680857,0.0578778495926215,6.4874901081201,0.0030488503397696,0.07598783842102619,0.12765947578873216,,,,0.14285704347293726,75.19999694824219,4
2026-09-11,6416.TW,6416,瑞祺電通,TWSE,115.5,115500.0,93.4614463782172,7,0.1492537313432835,0.2339743790907635,0.4188779321826401,2.7599043867383792,0.0452488687782806,0.030303030303030276,0.02164502164502169,,,,0.030303030303030276,119.0,4
2026-09-11,7717.TWO,7717,萊德光電-KY,TPEx,517.0,517000.0,93.41366747917527,6,0.150166852057842,0.2079439252336448,-0.0468109317106798,6.138481380060898,-0.0468109317106798,-0.05802707930367501,0.01934235976789167,,,,0.11992263056092844,579.0,4
2026-09-11,2409.TW,2409,友達,TWSE,30.200000762939453,30200.000762939453,93.10988703256793,5,0.1268657321891708,0.1705426998446768,0.0912813340658396,3.385684191946715,-0.0605635895321845,-0.04966887291740585,-0.026490103450292568,,,,-0.006622541651882585,30.0,4
2026-09-11,2069.TW,2069,運錩,TWSE,24.649999618530273,24649.999618530273,93.09566072775814,7,0.1738095056442987,0.248101246507862,0.3111702456847758,4.397549963413159,0.057939932432377,-0.03042596395969921,-0.0405679519462655,,,,-0.018255531949482928,24.200000762939453,4
2026-09-11,6870.TWO,6870,騰雲,TPEx,306.5,306500.0,92.87695547533092,7,0.0568965517241379,0.1522556390977443,0.1928150750358643,2.3595372947661417,0.0165837479270314,-0.006525285481239762,0.030995106035889064,,,,0.05057096247960846,322.0,4
2026-09-11,2413.TW,2413,環科,TWSE,50.20000076293945,50200.00076293945,92.14921780986764,5,0.0960699039121053,0.1514666738999945,-0.1012446405249425,10.376993121102831,-0.1044148353101075,0.007968081774949676,0.05577687638458495,,,,0.05776887783082629,53.099998474121094,4
2026-09-11,6227.TWO,6227,茂綸,TPEx,127.5,127500.0,91.35911406563928,7,0.1233480176211454,0.0688136127199441,0.0863352054426487,1.7973894068901066,0.0117014423499237,-0.0039215686274509665,0.04313725490196085,,,,0.07843137254901955,137.5,4
2026-09-11,1569.TWO,1569,濱川,TPEx,50.599998474121094,50599.998474121094,89.76474127557158,6,0.0390143261071063,0.1948052018240649,0.0390143261071063,3.383127466616995,0.0079680817749496,-0.031620524157513485,0.0019763298781423355,,,,0.027668015179781458,52.0,4
