ticker,price,history_days,ret_5,ret_10,ret_20,ret_60,ret_120,ret_252,above_ma_20,above_ma_60,above_ma_120,avg_turnover_20,volume_ratio_5,volume_ratio_20,breakout_60,distance_to_high_60,breakout_120,momentum_shift_5_20,momentum_shift_20_60,volatility_20,max_drawdown_60,ignition_short_momentum,ignition_volume,ignition_shift,ignition_price_position,late_chase_penalty,ignition_score,volume_surge_flag,early_price_flag,early_stage_flag,near_high_flag,not_extended_flag,momentum_shift_flag,breakout_flag,ignition_qualified,ignition_signal_count,code,name,market,lot_cost
3362.TWO,175.0,486,-0.04109589041095896,-0.11616161616161613,-0.05913978494623651,-0.17061611374407581,0.8305439622718453,0.47058823529411775,-0.08412926861180159,-0.02293770064672207,0.146263231575815,1155146022.65,0.8070524663190033,0.719663891577291,-0.17061611374407581,-0.17061611374407581,-0.17061611374407581,-0.02631094417439983,-0.002267747031544566,0.6677607858095322,-0.21842105263157896,11.972255729794933,62.48492159227985,30.83232810615199,39.9276236429433,0.0,36.03437876960193,False,True,True,False,True,False,False,False,3,3362,先進光,TPEx,175000.0
8016.TW,276.0,486,-0.010752688172043001,-0.0482758620689655,-0.053173241852487174,-0.16490166414523444,0.44794592757763185,0.37850004824157546,-0.04091738337242634,-0.0799744437345482,0.0015677482068818804,140820516.325,0.575271772385591,0.3761372760063212,-0.23966942148760328,-0.23966942148760328,-0.23966942148760328,0.0025406222910787923,0.0017939795292576388,0.28095649786463406,-0.2988980716253443,29.523522316043426,35.46441495778046,51.33896260554885,23.03980699638118,0.0,35.78709288299155,False,True,True,False,True,True,False,False,4,8016,矽創,TWSE,276000.0
4590.TW,89.30000305175781,452,-0.029347792915675908,0.002244720326171512,0.024082639644610104,0.205297044868874,0.25482981252806813,-0.044811493014885184,0.00540421742310615,0.028304759721525796,0.11595130645568363,27805395.10041275,0.4912864426037622,0.6781746856719548,-0.05999996787623352,-0.05999996787623352,-0.05999996787623352,-0.035368452826828434,-0.04434970864501457,0.31048401717871466,-0.1842105263157895,41.05548854041014,23.401688781664657,20.585042219541617,75.27141133896261,0.0,35.77412545235224,False,True,True,False,True,False,False,False,3,4590,富田-創,TWSE,89300.00305175781
3008.TW,6020.0,486,-0.10416666666666663,-0.15804195804195809,0.09156844968268363,0.1761832657646656,1.7364802477378296,1.5917628175111576,-0.08980949501058366,0.19018739774076532,0.4530603693655044,15220897493.5,0.9334002755566858,0.9726136610516516,-0.22919334186939821,-0.22919334186939821,-0.22919334186939821,-0.12705877908733754,0.0328406944277951,0.9486154185629424,-0.23239436619718312,17.16525934861279,72.25572979493366,20.078407720144753,26.17611580217129,0.0,35.77231604342582,False,False,True,False,True,False,False,False,2,3008,大立光,TWSE,6020000.0
1714.TW,16.049999237060547,486,-0.02727277351148205,-0.030211481755258673,-0.055882397819967844,-0.1230081363429677,0.6726134317774453,1.072075398545909,-0.024464402745736913,-0.023569795748633826,0.1624809032958714,225933077.53255707,0.7511226162894271,0.6827378745010284,-0.2868417787516899,-0.2868417787516899,-0.2868417787516899,-0.01330217405649009,-0.014879685705645275,0.583906143664234,-0.44615384745769604,25.404101326899884,57.177322074788904,34.91556091676719,14.957780458383596,0.0,35.74698431845597,False,True,True,False,True,False,False,False,3,1714,和桐,TWSE,16049.999237060547
8261.TW,169.0,486,0.005952380952380931,-0.023121387283236983,-0.058495821727019504,-0.3289097639965227,0.6728152033137365,0.8842149307185609,-0.036488027366020526,-0.2172018942498538,-0.06597793398213503,588796666.125,0.41549709553327674,0.4127318488219432,-0.5128876319389182,-0.5128876319389182,-0.5128876319389182,0.020576336384135807,0.0511407662718214,0.4800129282808192,-0.544593170688456,43.55850422195415,15.440289505428225,71.51387213510255,0.7237635705669482,0.0,35.686670687575386,False,True,True,False,True,True,False,False,4,8261,富鼎,TWSE,169000.0
1815.TWO,112.0,486,-0.11111111111111116,-0.01617230098803879,0.10335820788951788,0.10335820788951788,0.1085382597324025,0.9983671451360221,-0.0435461412064988,0.18262573677435068,0.14618032295252403,9187001728.577631,0.5944957099845573,2.72342020376452,-0.12548643115904468,-0.12548643115904468,-0.12548643115904468,-0.13695066308349063,0.06890547192634525,0.7742660641768879,-0.45675672405552337,31.194209891435463,38.480096501809406,25.63329312424608,55.60916767189384,0.0,35.65199034981906,False,False,True,False,True,False,False,False,2,1815,富喬,TPEx,112000.0
3234.TWO,177.0,486,-0.09230769230769231,-0.08997429305912596,0.2192586552290534,0.3062730627306274,0.8809777138166228,3.7708896840916424,-0.040576371172411085,0.2646827735528645,0.4086970570320909,794161365.3598121,0.6660170183005012,1.5368455082321022,-0.16113744075829384,-0.16113744075829384,-0.16113744075829384,-0.14712235611495567,0.11716763431884429,0.8717720483321677,-0.3307692307692308,22.490952955367913,48.97466827503016,30.05428226779252,44.39083232810615,0.0,35.61188178528347,False,False,True,False,True,False,False,False,2,3234,光環,TPEx,177000.0
4939.TWO,77.5999984741211,486,-0.05825246314164567,-0.04785277945863686,0.23763951403312733,0.3020134305509383,1.6884483100072019,2.419517704234975,-0.06110104256161375,0.14383980169774424,0.3715819764988415,1439631563.452448,0.617375451643302,1.3712332772907658,-0.170940173726859,-0.170940173726859,-0.170940173726859,-0.1176623416499275,0.1369683705161479,0.9831257694456567,-0.3605769603613147,29.366706875753923,41.978287092882994,32.20747889022919,39.806996381182145,0.0,35.426417370325694,False,False,True,False,True,False,False,False,2,4939,亞電,TPEx,77599.9984741211
1563.TW,76.19999694824219,486,-0.025575448568415315,-0.1340909437699751,-0.07368420857377289,-0.06177241159688762,0.5100328950476758,0.21406647441722404,-0.06926134097564485,-0.05077784744647351,0.06062329968758173,50390346.397917554,0.6678769963288153,0.6222363802382005,-0.1450235605289789,-0.1450235605289789,-0.1450235605289789,-0.007154396424972093,-0.05309340470814368,0.4423012654267262,-0.23108724612059794,15.563932448733414,49.336550060313634,34.07117008443908,49.336550060313634,0.0,35.388419782870926,False,True,True,False,True,False,False,False,3,1563,巧新,TWSE,76199.99694824219
